380.0, 0.0
385.0, 0.01
390.0, 0.01
395.0, 0.02
400.0, 0.04
405.0, 0.07
410.0, 0.15
415.0, 0.28
420.0, 0.53
425.0, 0.92
430.0, 1.54
435.0, 2.52
440.0, 4.16
445.0, 6.39
450.0, 7.89
455.0, 7.57
460.0, 6.25
465.0, 5.16
470.0, 4.37
475.0, 3.84
480.0, 3.7
485.0, 3.88
490.0, 4.26
495.0, 4.79
500.0, 5.41
505.0, 6.05
510.0, 6.7
515.0, 7.34
520.0, 7.98
525.0, 8.64
530.0, 9.31
535.0, 10.02
540.0, 10.76
545.0, 11.53
550.0, 12.38
555.0, 13.28
560.0, 14.23
565.0, 15.2
570.0, 16.2
575.0, 17.19
580.0, 18.14
585.0, 19.02
590.0, 19.78
595.0, 20.38
600.0, 20.8
605.0, 21.0
610.0, 20.97
615.0, 20.71
620.0, 20.23
625.0, 19.56
630.0, 18.76
635.0, 17.82
640.0, 16.78
645.0, 15.66
650.0, 14.49
655.0, 13.31
660.0, 12.15
665.0, 11.02
670.0, 9.95
675.0, 8.93
680.0, 7.98
685.0, 7.1
690.0, 6.3
695.0, 5.57
700.0, 4.89
705.0, 4.26
710.0, 3.72
715.0, 3.25
720.0, 2.83
725.0, 2.47
730.0, 2.15
735.0, 1.87
740.0, 1.63
745.0, 1.42
750.0, 1.25
755.0, 1.1
760.0, 0.97
765.0, 0.86
770.0, 0.76
775.0, 0.68
780.0, 0.61
